OrphaCode,DiseaseName,GeneSymbol,GeneId
681,Hypokalemic periodic paralysis,KCNE3,16289
107,BOR syndrome,SIX1,15295
107,BOR syndrome,EYA1,16006
107,BOR syndrome,SIX5,16793
774,Hereditary hemorrhagic telangiectasia,ACVRL1,15079
774,Hereditary hemorrhagic telangiectasia,SMAD4,15524
774,Hereditary hemorrhagic telangiectasia,ENG,15977
774,Hereditary hemorrhagic telangiectasia,GDF2,22383
794,Saethre-Chotzen syndrome,FGFR3,16047
794,Saethre-Chotzen syndrome,FGFR2,16664
794,Saethre-Chotzen syndrome,TWIST1,15676
2869,Peutz-Jeghers syndrome,STK11,15565
893,WAGR syndrome,WT1,15731
893,WAGR syndrome,PAX6,16612
893,WAGR syndrome,BDNF,15367
912,Zellweger syndrome,PEX11B,21571
912,Zellweger syndrome,PEX2,15175
912,Zellweger syndrome,PEX1,16637
912,Zellweger syndrome,PEX10,16638
912,Zellweger syndrome,PEX12,16639
912,Zellweger syndrome,PEX13,16640
912,Zellweger syndrome,PEX14,16641
912,Zellweger syndrome,PEX16,16642
912,Zellweger syndrome,PEX19,16643
912,Zellweger syndrome,PEX26,16644
912,Zellweger syndrome,PEX3,16645
912,Zellweger syndrome,PEX5,16646
912,Zellweger syndrome,PEX6,16647
53,Albers-Schönberg osteopetrosis,CLCN7,15460
14,Abetalipoproteinemia,MTTP,16487
167,Chédiak-Higashi syndrome,LYST,16419
207,Crouzon syndrome,FGFR2,16664
207,Crouzon syndrome,ERF,22034
201,Cowden syndrome,PTEN,15166
201,Cowden syndrome,USF3,28796
201,Cowden syndrome,PIK3CA,15093
201,Cowden syndrome,SDHB,15262
201,Cowden syndrome,SDHD,15264
201,Cowden syndrome,SDHC,15263
201,Cowden syndrome,SEC23B,18492
201,Cowden syndrome,AKT1,20544
201,Cowden syndrome,KLLN,21874
192,Coffin-Lowry syndrome,RPS6KA3,15231
169808,Mild hemophilia A,F8,16016
169802,Severe hemophilia A,F8,16016
169805,Moderate hemophilia A,F8,16016
562,McCune-Albright syndrome,GNAS,16147
565,Menkes disease,ATP7A,15329
474,Jeune syndrome,KIAA0753,25094
474,Jeune syndrome,DYNC2LI1,25061
474,Jeune syndrome,IFT80,17468
474,Jeune syndrome,DYNC2H1,18357
474,Jeune syndrome,TTC21B,19838
474,Jeune syndrome,WDR19,20667
474,Jeune syndrome,IFT140,21155
474,Jeune syndrome,DYNC2I1,22290
474,Jeune syndrome,IFT172,22531
474,Jeune syndrome,DYNC2I2,22549
474,Jeune syndrome,CEP120,23142
540,Familial hemophagocytic lymphohistiocytosis,PRF1,15136
540,Familial hemophagocytic lymphohistiocytosis,STX11,15567
540,Familial hemophagocytic lymphohistiocytosis,UNC13D,15694
